year,cap
2020,7.4
2021,7.4
2022,7.4
2023,7.4
2024,7.4
2025,7.1
2026,7
2027,6.5
2028,6.1
2029,6
2030,5.92
2031,5.8
2032,5.5
2033,5.2
2034,5
2035,4.8
2036,4.6
2037,4.2
2038,4.1
2039,4
2040,3.7
2041,3.6
2042,3.5
2043,3.3
2044,3.2
2045,3
2046,2.8
2047,2.6
2048,2.5
2049,2.3
2050,2.22
