year,cap
2020,7.4
2021,7.4
2022,7.4
2023,7.4
2024,7.4
2025,7
2026,6.9
2027,6.4
2028,6.1
2029,5.8
2030,5.55
2031,5.5
2032,5.3
2033,5.2
2034,5
2035,4.7
2036,4.3
2037,4
2038,3.8
2039,3.5
2040,3.33
2041,3
2042,2.95
2043,2.9
2044,2.8
2045,2.7
2046,2.4
2047,2.1
2048,2
2049,1.9
2050,1.85
