year,ship_type,demand
2020,C,15254405
2020,T,24183380
2020,B,7610528
2020,G,352176
2020,O,1149540
2021,C,15328846.5
2021,T,24301394.89
2021,B,7647667.377
2021,G,353894.6189
2021,O,1155149.755
2022,C,15403651.27
2022,T,24419985.7
2022,B,7684987.993
2022,G,355621.6246
2022,O,1160786.886
2023,C,15478821.09
2023,T,24539155.23
2023,B,7722490.735
2023,G,357357.0581
2023,O,1166451.526
2024,C,15554357.73
2024,T,24658906.31
2024,B,7760176.49
2024,G,359100.9606
2024,O,1172143.809
2025,C,15630263
2025,T,24779241.77
2025,B,7798046.151
2025,G,360853.3733
2025,O,1177863.871
2026,C,15706538.68
2026,T,24900164.47
2026,B,7836100.616
2026,G,362614.3377
2026,O,1183611.847
2027,C,15783186.59
2027,T,25021677.27
2027,B,7874340.787
2027,G,364383.8957
2027,O,1189387.873
2028,C,15860208.54
2028,T,25143783.06
2028,B,7912767.57
2028,G,366162.0891
2028,O,1195192.086
2029,C,15937606.36
2029,T,25266484.72
2029,B,7951381.876
2029,G,367948.9601
2029,O,1201024.623
2030,C,16015381.88
2030,T,25389785.17
2030,B,7990184.619
2030,G,369744.551
2030,O,1206885.623
2031,C,16123806.01
2031,T,25561674.01
2031,B,8044278.169
2031,G,372247.7217
2031,O,1215056.239
2032,C,16232964.18
2032,T,25734726.55
2032,B,8098737.933
2032,G,374767.8387
2032,O,1223282.17
2033,C,16342861.35
2033,T,25908950.64
2033,B,8153566.388
2033,G,377305.017
2033,O,1231563.79
2034,C,16453502.52
2034,T,26084354.24
2034,B,8208766.033
2034,G,379859.372
2034,O,1239901.477
2035,C,16564892.73
2035,T,26260945.32
2035,B,8264339.379
2035,G,382431.0199
2035,O,1248295.61
2036,C,16677037.05
2036,T,26438731.92
2036,B,8320288.956
2036,G,385020.0779
2036,O,1256746.571
2037,C,16789940.6
2037,T,26617722.13
2037,B,8376617.313
2037,G,387626.6638
2037,O,1265254.745
2038,C,16903608.49
2038,T,26797924.11
2038,B,8433327.012
2038,G,390250.8964
2038,O,1273820.52
2039,C,17018045.92
2039,T,26979346.06
2039,B,8490420.636
2039,G,392892.8949
2039,O,1282444.285
2040,C,17133258.09
2040,T,27161996.23
2040,B,8547900.783
2040,G,395552.7798
2040,O,1291126.433
2041,C,17265698.18
2041,T,27371958.46
2041,B,8613976.057
2041,G,398610.4028
2041,O,1301106.84
2042,C,17399162.03
2042,T,27583543.7
2042,B,8680562.091
2042,G,401691.6612
2042,O,1311164.396
2043,C,17533657.55
2043,T,27796764.49
2043,B,8747662.836
2043,G,404796.7378
2043,O,1321299.697
2044,C,17669192.72
2044,T,28011633.48
2044,B,8815282.27
2044,G,407925.8165
2044,O,1331513.343
2045,C,17805775.58
2045,T,28228163.41
2045,B,8883424.402
2045,G,411079.0831
2045,O,1341805.941
2046,C,17943414.23
2046,T,28446367.11
2046,B,8952093.273
2046,G,414256.7244
2046,O,1352178.101
2047,C,18082116.82
2047,T,28666257.53
2047,B,9021292.954
2047,G,417458.9289
2047,O,1362630.438
2048,C,18221891.58
2048,T,28887847.7
2048,B,9091027.548
2048,G,420685.8864
2048,O,1373163.571
2049,C,18362746.8
2049,T,29111150.76
2049,B,9161301.191
2049,G,423937.7883
2049,O,1383778.126
2050,C,18504690.84
2050,T,29336179.96
2050,B,9232118.049
2050,G,427214.8274
2050,O,1394474.731
