year,ship_type,demand
2020,C,15254405
2020,T,24183380
2020,B,7610528
2020,G,352176
2020,O,1149540
2021,C,15469095.5
2021,T,24523736.89
2021,B,7717638.571
2021,G,357132.525
2021,O,1165718.626
2022,C,15686807.55
2022,T,24868883.96
2022,B,7826256.616
2022,G,362158.8082
2022,O,1182124.95
2023,C,15907583.68
2023,T,25218888.64
2023,B,7936403.352
2023,G,367255.8312
2023,O,1198762.176
2024,C,16131467.01
2024,T,25573819.27
2024,B,8048100.293
2024,G,372424.5898
2024,O,1215633.555
2025,C,16358501.27
2025,T,25933745.21
2025,B,8161369.256
2025,G,377666.0935
2025,O,1232742.382
2026,C,16588730.82
2026,T,26298736.74
2026,B,8276232.367
2026,G,382981.3661
2026,O,1250091.998
2027,C,16822200.62
2027,T,26668865.16
2027,B,8392712.061
2027,G,388371.4458
2027,O,1267685.793
2028,C,17058956.27
2028,T,27044202.77
2028,B,8510831.091
2028,G,393837.3856
2028,O,1285527.203
2029,C,17299044.02
2029,T,27424822.88
2029,B,8630612.528
2029,G,399380.2529
2029,O,1303619.713
2030,C,17542510.77
2030,T,27810799.83
2030,B,8752079.769
2030,G,405001.1306
2030,O,1321966.857
2031,C,17820103.46
2031,T,28250877.93
2031,B,8890572.679
2031,G,411409.8685
2031,O,1342885.66
2032,C,18102088.77
2032,T,28697919.82
2032,B,9031257.101
2032,G,417920.0183
2032,O,1364135.483
2033,C,18388536.23
2033,T,29152035.71
2033,B,9174167.713
2033,G,424533.1846
2033,O,1385721.563
2034,C,18679516.42
2034,T,29613337.52
2034,B,9319339.743
2034,G,431250.9977
2034,O,1407649.221
2035,C,18975101.09
2035,T,30081938.97
2035,B,9466808.975
2035,G,438075.1135
2035,O,1429923.862
2036,C,19275363.09
2036,T,30557955.57
2036,B,9616611.76
2036,G,445007.2141
2036,O,1452550.977
2037,C,19580376.44
2037,T,31041504.66
2037,B,9768785.025
2037,G,452049.0083
2037,O,1475536.144
2038,C,19890216.31
2038,T,31532705.43
2038,B,9923366.279
2038,G,459202.2318
2038,O,1498885.028
2039,C,20204959.1
2039,T,32031678.96
2039,B,10080393.63
2039,G,466468.6479
2039,O,1522603.384
2040,C,20524682.37
2040,T,32538548.25
2040,B,10239905.78
2040,G,473850.0478
2040,O,1546697.06
2041,C,20867218.79
2041,T,33081584.08
2041,B,10410799.56
2041,G,481758.1312
2041,O,1572509.888
2042,C,21215471.81
2042,T,33633682.64
2042,B,10584545.4
2042,G,489798.1927
2042,O,1598753.505
2043,C,21569536.82
2043,T,34194995.17
2043,B,10761190.88
2043,G,497972.4347
2043,O,1625435.102
2044,C,21929510.82
2044,T,34765675.44
2044,B,10940784.39
2044,G,506283.0967
2044,O,1652561.989
2045,C,22295492.42
2045,T,35345879.8
2045,B,11123375.14
2045,G,514732.4553
2045,O,1680141.596
2046,C,22667581.9
2046,T,35935767.19
2046,B,11309013.15
2046,G,523322.8252
2046,O,1708181.479
2047,C,23045881.17
2047,T,36535499.21
2047,B,11497749.27
2047,G,532056.5599
2047,O,1736689.32
2048,C,23430493.88
2048,T,37145240.15
2048,B,11689635.21
2048,G,540936.0518
2048,O,1765672.928
2049,C,23821525.39
2049,T,37765157.07
2049,B,11884723.53
2049,G,549963.7336
2049,O,1795140.243
2050,C,24219082.83
2050,T,38395419.77
2050,B,12083067.68
2050,G,559142.0783
2050,O,1825099.339
